id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público,ingresos_totales_USD_cat
5,1,1,8,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,2,28000,1,0,2,28000,1,28000,28000,0,0,12,1,13,1,1,0,441.9889502762431,0.0,441.9889502762431,441.9889502762431,441.9889502762431,1,0,1,0,1,0,2
5,2,1,8,0,23,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,25000,1,0,3,25000,2,25000,25000,0,0,12,1,13,1,1,0,394.6329913180742,0.0,394.6329913180742,394.6329913180742,394.6329913180742,1,0,1,0,1,0,1
6,1,1,13,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,13400,3,13400,2,21400,10700,0,0,13,1,12,2,1,0,0.0,211.52328334648777,211.52328334648777,337.8058405682715,168.90292028413575,1,0,1,0,1,0,1
6,1,2,13,0,18,4,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,8000,3,8000,2,21400,10700,0,0,13,1,12,2,1,0,0.0,126.28255722178372,126.28255722178372,337.8058405682715,168.90292028413575,1,0,1,0,1,0,3
7,1,1,12,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,20000,20000,0,2,13,1,12,0,2,0,0.0,315.70639305445934,315.70639305445934,315.70639305445934,315.70639305445934,0,1,1,0,1,0,1
8,1,1,3,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,20000,20000,0,0,13,1,12,1,1,0,0.0,315.70639305445934,315.70639305445934,315.70639305445934,315.70639305445934,0,1,1,0,1,0,1
9,1,1,2,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,10000,3,10000,2,10000,10000,0,0,13,1,12,2,1,0,0.0,157.85319652722967,157.85319652722967,157.85319652722967,157.85319652722967,1,0,1,0,1,0,3
10,1,1,2,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,3000,3,3000,2,3000,3000,0,0,13,1,12,2,2,0,0.0,47.355958958168905,47.355958958168905,47.355958958168905,47.355958958168905,1,0,1,0,1,0,3
11,1,1,1,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,11400,3,11400,2,29400,9800,0,3,13,1,13,0,4,0,0.0,179.95264404104182,179.95264404104182,464.0883977900552,154.6961325966851,0,1,1,0,0,1,3
11,1,2,1,0,20,4,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,10000,3,10000,2,29400,9800,0,0,13,1,13,1,1,0,0.0,157.85319652722967,157.85319652722967,464.0883977900552,154.6961325966851,0,1,1,0,1,0,3
11,1,3,1,0,19,5,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,8000,3,8000,2,29400,9800,0,3,13,1,13,1,1,0,0.0,126.28255722178372,126.28255722178372,464.0883977900552,154.6961325966851,0,1,1,0,1,0,3
12,1,1,1,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,30000,3,30000,2,30000,30000,0,2,13,1,12,1,1,0,0.0,473.559589581689,473.559589581689,473.559589581689,473.559589581689,1,0,1,0,1,0,2
13,1,1,1,0,19,2,3,Padre no vive en el hogar,Madre no vive en el hogar,0,1,1,0,3,10015,3,10015,2,10015,5008,1,1,1,2,7,0,4,1,0.0,158.0899763220205,158.0899763220205,158.0899763220205,79.05288082083662,1,0,0,1,0,1,3
13,1,2,1,0,1,1,2,Padre no vive en el hogar,1,1,1,0,0,0,0,0,0,2,10015,5008,2,1,1,6,0,0,4,0,0.0,0.0,0.0,158.0899763220205,79.05288082083662,0,1,1,0,0,1,4
14,1,1,6,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,22000,1,0,3,22000,2,22000,22000,1,1,1,0,11,6,1,0,347.27703235990526,0.0,347.27703235990526,347.27703235990526,347.27703235990526,0,1,1,0,1,0,1
15,1,1,1,1,19,2,5,Padre no vive en el hogar,Madre no vive en el hogar,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,9,0,4,1,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,4
15,1,2,1,1,25,0,5,No corresponde,No corresponde,2,0,1,0,1,0,1,0,0,0,0,1,1,1,3,12,5,4,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,4
15,1,3,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,6,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,4
16,1,1,7,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,25500,1,0,3,25500,2,25500,25500,1,1,1,3,12,5,1,0,402.5256511444357,0.0,402.5256511444357,402.5256511444357,402.5256511444357,0,1,1,0,1,0,1
17,1,1,2,0,19,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,30000,3,30000,2,30000,15000,1,1,1,3,12,2,1,0,0.0,473.559589581689,473.559589581689,473.559589581689,236.7797947908445,1,0,1,0,1,0,2
17,1,2,2,0,16,4,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,1,0,1,0,2,30000,15000,0,2,11,0,9,2,1,0,0.0,0.0,0.0,473.559589581689,236.7797947908445,1,0,1,0,1,0,4
18,1,1,1,1,19,2,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,24000,1,0,3,24000,2,26000,13000,1,1,1,0,8,0,4,0,378.8476716653512,0.0,378.8476716653512,410.4183109707972,205.20915548539855,0,1,1,0,0,1,1
18,1,2,1,1,17,0,5,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,2000,3,2000,2,26000,13000,0,0,11,0,8,0,4,0,0.0,31.570639305445933,31.570639305445933,410.4183109707972,205.20915548539855,1,0,1,0,0,1,3
19,1,1,1,0,19,2,3,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,5200,1,0,3,5200,2,5200,5200,1,1,1,3,12,2,1,0,82.08366219415943,0.0,82.08366219415943,82.08366219415943,82.08366219415943,1,0,1,0,1,0,3
19,2,1,1,0,78,2,1,No corresponde,No corresponde,2,0,3,45000,3,30000,3,75000,2,75000,75000,1,1,1,2,7,0,1,0,710.3393843725336,473.559589581689,1183.8989739542226,1183.8989739542226,1183.8989739542226,0,1,1,0,1,0,2
20,1,1,6,0,20,2,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,10000,3,15000,3,25000,2,55000,27500,0,0,13,1,13,0,1,0,157.85319652722967,236.7797947908445,394.6329913180742,868.1925808997632,434.0962904498816,1,0,1,0,1,0,1
20,1,2,6,0,20,0,5,Padre no vive en el hogar,Madre no vive en el hogar,2,4,3,10000,3,20000,3,30000,2,55000,27500,0,0,13,1,13,0,3,0,157.85319652722967,315.70639305445934,473.559589581689,868.1925808997632,434.0962904498816,1,0,1,0,1,0,2
21,1,1,3,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,0,1,1,0,3,4000,3,4000,2,4000,4000,0,2,13,1,12,1,2,0,0.0,63.14127861089187,63.14127861089187,63.14127861089187,63.14127861089187,0,1,1,0,1,0,3
22,1,1,12,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,22000,3,22000,2,22000,22000,0,0,13,1,12,2,1,0,0.0,347.27703235990526,347.27703235990526,347.27703235990526,347.27703235990526,0,1,1,0,1,0,1
